Glitchfire Constellation 	Code 	Real‑World Counterpart             	Tradition(s)             	Reasoning
------------------------------------------------------------------------------------------------------------------------
The First Needle         	★1   	Polaris (North Star)               	Greek, Chinese, Hindu    	Fixed north‑finder across cultures
Great Ourobouros         	∞7   	Hydra / Serpens                    	Greek, Babylonian        	Self‑coiling world‑serpent mirrors loop effect
The Whisper Hook         	☾2   	Maui’s Fishhook (tail of Scorpius) 	Polynesian               	Fish‑hook shape reveals hidden paths
Glass Mantis             	ψ4   	Scorpius                           	Greek                    	Keen predatory ‘sting’ boosts insight
Echo Lynx                	𓂀5   	Lynx                               	Western (17th‑c.)        	Lynx constellation famed for dim stars needing sharp eyes
Silent Crown             	🜃6   	Corona Borealis                    	Greek, Celtic            	Quiet circlet of stars as a crown
Shadow Lantern           	𝕊3   	Lyra                               	Greek                    	Lyre’s music reveals truths in darkness
Fracture Serpent         	⚗9   	Draco                              	Greek, Norse             	Broken spiral of dragon stars needing stabilization
Twin Sparks              	⚡4   	Gemini (Castor & Pollux)           	Greek, Babylonian        	Twin archetype grants extra action
Vorshent Web             	∴8   	Sacred Hoop / Spider               	Lakota (Native)          	Web of intersections matches spider hoop
Broken Hourglass         	⧗1   	Egyptian Decans                    	Ancient Egyptian         	Hour‑counting star groups, collapse disrupts time
Twin Horizons            	≡3   	Venus as Morning & Evening Star    	Mesopotamian             	One body on two horizons
Shadow Sundial           	𝕊4   	Horologium                         	Western (Lacaille)       	Clock constellation freezes time
Echo Comet               	⚗6   	Coma Berenices                     	Greek, Egyptian          	Cluster once described as ‘comet‑like hair’
Recursive Crown          	∴7   	Corona Australis                   	Greek                    	Southern counterpart crown
Nova Knot                	★9   	Pleiades (Seven Sisters)           	Global                   	Tight knot cluster as seasonal gateway
Gilded Halo              	🜇7   	Purple Forbidden Enclosure         	Chinese                  	Circumpolar ‘halo’ around Polaris
Shattered Prism          	♢5   	Triangulum                         	Greek                    	Triangular ‘prism’ splits light
Void Harp                	𝕊9   	Emu in the Sky (dark cloud)        	Aboriginal Australian    	Dark‑space figure calms void
Aurora Lens              	⚡8   	Auriga / Capella                   	Greek, Finnish           	Bright star used to guide winter travel
